,index,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,price,transactions,hours,messaging,error,special_hours
0,0,tQfLGoolUMu2J0igcWcoZg,tokyo-hotel-chicago,Tokyo Hotel,https://s3-media1.fl.yelpcdn.com/bphoto/F2cq9Jbg-Wm0HKcMXwQfnA/o.jpg,False,True,https://www.yelp.com/biz/tokyo-hotel-chicago?adjust_creative=vDSb58llR471-zVk0JXmlQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=vDSb58llR471-zVk0JXmlQ,13127874900.0,(312) 787-4900,8.0,"[{'alias': 'hotels', 'title': 'Hotels'}]",3.5,"{'address1': '19 E Ohio St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60611', 'country': 'US', 'state': 'IL', 'display_address': ['19 E Ohio St', 'Chicago, IL 60611'], 'cross_streets': ''}","{'latitude': 41.8924355506897, 'longitude': -87.6273789256811}","['https://s3-media1.fl.yelpcdn.com/bphoto/F2cq9Jbg-Wm0HKcMXwQfnA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Z_HK1cDu024JFYfQedWeug/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/kwEtKSqqmJ_jKQDldzkZzQ/o.jpg']",$,[],,,,
1,1,33Xc1Bk_gkSY5xb2doQ7Ng,the-tremont-chicago-hotel-at-magnificent-mile-chicago,The Tremont Chicago Hotel at Magnificent Mile,https://s3-media4.fl.yelpcdn.com/bphoto/akghP5lDbyjI43ddVMJfzQ/o.jpg,True,False,https://www.yelp.com/biz/the-tremont-chicago-hotel-at-magnificent-mile-chicago?adjust_creative=vDSb58llR471-zVk0JXmlQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=vDSb58llR471-zVk0JXmlQ,13127511900.0,(312) 751-1900,174.0,"[{'alias': 'hotels', 'title': 'Hotels'}]",2.5,"{'address1': '100 E Chestnut St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60611', 'country': 'US', 'state': 'IL', 'display_address': ['100 E Chestnut St', 'Chicago, IL 60611'], 'cross_streets': 'Ernst Ct & Michigan Ave'}","{'latitude': 41.89859, 'longitude': -87.62558}","['https://s3-media4.fl.yelpcdn.com/bphoto/akghP5lDbyjI43ddVMJfzQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/MNq75Z_skas9SK2e9051lA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/IjYK2YyNARhzpPEgrnIqHw/o.jpg']",$$,[],"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
2,2,2nnXespKBBNtDQTtrumNFg,inn-at-lincoln-park-chicago,Inn At Lincoln Park,https://s3-media1.fl.yelpcdn.com/bphoto/ItAbj3RAIz_np9NMqgUm5Q/o.jpg,True,False,https://www.yelp.com/biz/inn-at-lincoln-park-chicago?adjust_creative=vDSb58llR471-zVk0JXmlQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=vDSb58llR471-zVk0JXmlQ,17733482810.0,(773) 348-2810,59.0,"[{'alias': 'hotels', 'title': 'Hotels'}]",2.5,"{'address1': '601 W Diversey Pkwy', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60614', 'country': 'US', 'state': 'IL', 'display_address': ['601 W Diversey Pkwy', 'Chicago, IL 60614'], 'cross_streets': 'Broadway St & Cambridge Ave'}","{'latitude': 41.9325, 'longitude': -87.64383}","['https://s3-media1.fl.yelpcdn.com/bphoto/ItAbj3RAIz_np9NMqgUm5Q/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/hiJmd75THrKrJ7ua9e5TPw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/1EU0cOOIXsZ2ZcEYwiY4Lg/o.jpg']",$$,[],,,,
3,3,SNuJYJewLhunxlhEezo15w,carleton-hotel-oak-park,Carleton Hotel,https://s3-media1.fl.yelpcdn.com/bphoto/gGYU-0qX0W2PWJYwyXk9Aw/o.jpg,False,False,https://www.yelp.com/biz/carleton-hotel-oak-park?adjust_creative=vDSb58llR471-zVk0JXmlQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=vDSb58llR471-zVk0JXmlQ,17088485000.0,(708) 848-5000,96.0,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.0,"{'address1': '1110 Pleasant St', 'address2': '', 'address3': '', 'city': 'Oak Park', 'zip_code': '60302', 'country': 'US', 'state': 'IL', 'display_address': ['1110 Pleasant St', 'Oak Park, IL 60302'], 'cross_streets': 'Maple Ave & Marion St'}","{'latitude': 41.8855006992817, 'longitude': -87.8030837327242}","['https://s3-media1.fl.yelpcdn.com/bphoto/gGYU-0qX0W2PWJYwyXk9Aw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/e7Jv2ZMVrRaeAjEBQmijXg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/nDXGhHJOWMx8ug_52ouEJg/o.jpg']",$$,[],,,,
4,4,XZEBxlz9ZoP76CrYvEsL1A,holiday-inn-express-chicago-magnificent-mile-chicago,Holiday Inn Express Chicago - Magnificent Mile,https://s3-media1.fl.yelpcdn.com/bphoto/5_d25tgbJXdQ976wP3NkQw/o.jpg,True,False,https://www.yelp.com/biz/holiday-inn-express-chicago-magnificent-mile-chicago?adjust_creative=vDSb58llR471-zVk0JXmlQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=vDSb58llR471-zVk0JXmlQ,18003458082.0,(800) 345-8082,167.0,"[{'alias': 'hotels', 'title': 'Hotels'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",3.5,"{'address1': '640 N Wabash Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60611', 'country': 'US', 'state': 'IL', 'display_address': ['640 N Wabash Ave', 'Chicago, IL 60611'], 'cross_streets': 'Ontario St & Erie St'}","{'latitude': 41.89377, 'longitude': -87.62707}","['https://s3-media1.fl.yelpcdn.com/bphoto/5_d25tgbJXdQ976wP3NkQw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/OIor9W5Er8i663VH4z_New/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/_ANK_eSWiP5KNpbAc01pPw/o.jpg']",$$,[],"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
5,5,FfG-PPZCz1sB4SKZoqsZkQ,the-whitehall-hotel-chicago,The Whitehall Hotel,https://s3-media4.fl.yelpcdn.com/bphoto/L6QyttSbYtv3dL7pkygXwg/o.jpg,True,False,https://www.yelp.com/biz/the-whitehall-hotel-chicago?adjust_creative=vDSb58llR471-zVk0JXmlQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=vDSb58llR471-zVk0JXmlQ,13129446300.0,(312) 944-6300,269.0,"[{'alias': 'hotels', 'title': 'Hotels'}]",3.0,"{'address1': '105 E Delaware Pl', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60611', 'country': 'US', 'state': 'IL', 'display_address': ['105 E Delaware Pl', 'Chicago, IL 60611'], 'cross_streets': 'Ernst Ct & Huguelet Pl'}","{'latitude': 41.899, 'longitude': -87.6257}","['https://s3-media4.fl.yelpcdn.com/bphoto/L6QyttSbYtv3dL7pkygXwg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/J3FC7TCToUMyItWiZma-XA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/rzPV9rB-BfKZYcZsumrPcA/o.jpg']",$$,[],"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
6,6,yiXTDN-dfNq3NKXZPKgsaw,hilton-chicago-magnificent-mile-suites-chicago,Hilton Chicago/Magnificent Mile Suites,https://s3-media2.fl.yelpcdn.com/bphoto/4FVdKzC-cEFLes2eYn9u7Q/o.jpg,True,False,https://www.yelp.com/biz/hilton-chicago-magnificent-mile-suites-chicago?adjust_creative=vDSb58llR471-zVk0JXmlQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=vDSb58llR471-zVk0JXmlQ,13126641100.0,(312) 664-1100,181.0,"[{'alias': 'hotels', 'title': 'Hotels'}]",3.5,"{'address1': '198 E Delaware Pl', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60611', 'country': 'US', 'state': 'IL', 'display_address': ['198 E Delaware Pl', 'Chicago, IL 60611'], 'cross_streets': 'Seneca St & Michigan Ave'}","{'latitude': 41.8997744084902, 'longitude': -87.6220404734789}","['https://s3-media2.fl.yelpcdn.com/bphoto/4FVdKzC-cEFLes2eYn9u7Q/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/-Y9_--ZLfHNMlI6ytPrMIA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/TVM1OeMAKVaunDonVn75mw/o.jpg']",$$,[],"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
7,7,SEyUJ4t_8K4fD0ZIQnbmrA,hotel-indigo-chicago-downtown-gold-coast-chicago-3,Hotel Indigo Chicago Downtown Gold Coast,https://s3-media3.fl.yelpcdn.com/bphoto/vyJ3GgCM15DC3-dBLmc-8Q/o.jpg,True,True,https://www.yelp.com/biz/hotel-indigo-chicago-downtown-gold-coast-chicago-3?adjust_creative=vDSb58llR471-zVk0JXmlQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=vDSb58llR471-zVk0JXmlQ,13127874980.0,(312) 787-4980,171.0,"[{'alias': 'hotels', 'title': 'Hotels'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",3.0,"{'address1': '1244 N Dearborn Pkwy', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60610', 'country': 'US', 'state': 'IL', 'display_address': ['1244 N Dearborn Pkwy', 'Chicago, IL 60610'], 'cross_streets': 'Goethe St & Division St'}","{'latitude': 41.90521, 'longitude': -87.63045}","['https://s3-media3.fl.yelpcdn.com/bphoto/vyJ3GgCM15DC3-dBLmc-8Q/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/LRTN6xolXHM8CF1isMNoug/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/jbPrF9L8m1u-ll7rts_qnQ/o.jpg']",$$,[],"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
8,8,qgpP1FOFrlssColqP2u-xA,holiday-inn-and-suites-chicago-downtown-chicago-2,Holiday Inn & Suites Chicago-Downtown,https://s3-media1.fl.yelpcdn.com/bphoto/koLsn6l4KtadX7-Cbtv3QQ/o.jpg,True,False,https://www.yelp.com/biz/holiday-inn-and-suites-chicago-downtown-chicago-2?adjust_creative=vDSb58llR471-zVk0JXmlQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=vDSb58llR471-zVk0JXmlQ,13129579100.0,(312) 957-9100,73.0,"[{'alias': 'hotels', 'title': 'Hotels'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",3.0,"{'address1': '506 W Harrison St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60607', 'country': 'US', 'state': 'IL', 'display_address': ['506 W Harrison St', 'Chicago, IL 60607'], 'cross_streets': 'Clinton St'}","{'latitude': 41.8745512, 'longitude': -87.640096}","['https://s3-media1.fl.yelpcdn.com/bphoto/koLsn6l4KtadX7-Cbtv3QQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/TM2hNqtQJAUCFOwtH36Cuw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/OIdfx6bShL854hmMoW4_2w/o.jpg']",$$,[],"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
9,9,tS1N1-P7QorwyRsNk3VMJA,seneca-hotel-chicago,Seneca Hotel,https://s3-media4.fl.yelpcdn.com/bphoto/JbOgegzQMaemh3CKxcVAJg/o.jpg,True,True,https://www.yelp.com/biz/seneca-hotel-chicago?adjust_creative=vDSb58llR471-zVk0JXmlQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=vDSb58llR471-zVk0JXmlQ,13127878900.0,(312) 787-8900,34.0,"[{'alias': 'hotels', 'title': 'Hotels'}]",3.5,"{'address1': '200 E Chestnut St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60611', 'country': 'US', 'state': 'IL', 'display_address': ['200 E Chestnut St', 'Chicago, IL 60611'], 'cross_streets': 'Seneca St & Dewitt Pl'}","{'latitude': 41.89871, 'longitude': -87.62142}","['https://s3-media4.fl.yelpcdn.com/bphoto/JbOgegzQMaemh3CKxcVAJg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/McHIta-qdl73fnjR9Neylw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/0hiUJtYvqMFKICUBgdgU5Q/o.jpg']",$$,[],,,,
